system,faithfulness,answer_relevancy,context_precision,context_recall,latency
custom_gpt,0.3152933965605564,0.8641729072669025,0.1683333333234639,0.23,0.0
gemini_gems,0.5316424355286854,0.7684941998597442,0.1656388888790065,0.19666666666666668,0.0
itihashqa_baseline,0.4463636363636364,0.1561707661309474,0.17687499998869619,0.215,4.896939037000011
notebooklm,0.2783589466089466,0.1570568914345371,0.18405555554440928,0.21166666666666667,0.0
talrag,0.4008612530994583,0.4480481137829246,0.19722222221060787,0.14333333333333334,24.573137715999998
